,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
45,45,2026-01-22,,GSW,W,123,115,,43,86,.500,13,35,.371,30,51,.588,.576,24,30,.800,11,43,54,25,6,6,22,17,43,96,.448,15,46,.326,28,50,.560,.526,14,18,.778,4,31,35,29,15,7,10,24
46,46,2026-01-24,,LAL,L,110,116,,39,94,.415,10,29,.345,29,65,.446,.468,22,29,.759,11,32,43,22,10,6,11,19,40,90,.444,14,34,.412,26,56,.464,.522,22,29,.759,16,41,57,26,7,8,16,20
47,47,2026-01-28,,MIN,L,105,118,,38,84,.452,3,18,.167,35,66,.530,.470,26,39,.667,14,36,50,22,6,3,19,19,43,94,.457,12,34,.353,31,60,.517,.521,20,27,.741,11,31,42,26,15,6,12,25
48,48,2026-01-29,,CHO,L,121,123,,48,103,.466,11,33,.333,37,70,.529,.519,14,16,.875,13,37,50,26,7,8,8,15,43,91,.473,20,41,.488,23,50,.460,.582,17,18,.944,8,37,45,28,4,9,10,17
49,49,2026-01-31,@,HOU,L,107,111,,41,92,.446,10,23,.435,31,69,.449,.500,15,26,.577,11,37,48,19,3,4,11,12,45,108,.417,10,26,.385,35,82,.427,.463,11,15,.733,18,35,53,33,10,6,6,20
50,50,2026-02-03,,BOS,L,100,110,,37,89,.416,9,32,.281,28,57,.491,.466,17,22,.773,13,36,49,21,4,4,9,11,47,96,.490,13,39,.333,34,57,.596,.557,3,5,.600,10,37,47,27,7,4,10,20
51,51,2026-02-05,,SAS,L,123,135,,47,97,.485,12,31,.387,35,66,.530,.546,17,20,.850,7,34,41,23,9,8,9,20,48,95,.505,17,41,.415,31,54,.574,.595,22,25,.880,11,39,50,34,7,7,14,18
52,52,2026-02-07,@,SAS,L,125,138,,46,105,.438,15,37,.405,31,68,.456,.510,18,24,.750,12,29,41,35,10,4,7,16,55,99,.556,14,35,.400,41,64,.641,.626,14,20,.700,12,40,52,34,5,11,18,17
53,53,2026-02-10,@,PHO,L,111,120,,37,77,.481,5,22,.227,32,55,.582,.513,32,44,.727,8,34,42,18,7,5,16,12,49,102,.480,16,50,.320,33,52,.635,.559,6,9,.667,18,31,49,32,8,3,14,27
54,54,2026-02-12,@,LAL,L,104,124,,39,79,.494,7,26,.269,32,53,.604,.538,19,25,.760,4,24,28,22,7,1,15,18,48,86,.558,10,31,.323,38,55,.691,.616,18,21,.857,10,34,44,35,8,3,13,20
55,55,2026-02-20,@,MIN,L,111,122,,41,97,.423,8,25,.320,33,72,.458,.464,21,29,.724,15,30,45,21,12,3,12,18,47,99,.475,16,42,.381,31,57,.544,.556,12,19,.632,17,37,54,28,7,8,19,22
56,56,2026-02-22,@,IND,W,134,130,,51,94,.543,11,28,.393,40,66,.606,.601,21,32,.656,10,35,45,29,9,2,11,13,47,94,.500,20,42,.476,27,52,.519,.606,16,20,.800,9,30,39,37,8,3,16,23
57,57,2026-02-24,@,BRK,W,123,114,,48,82,.585,8,23,.348,40,59,.678,.634,19,24,.792,10,34,44,26,5,4,16,19,41,80,.513,13,32,.406,28,48,.583,.594,19,27,.704,5,23,28,29,11,2,11,21
58,58,2026-02-26,,SAC,L,121,130,,45,81,.556,10,23,.435,35,58,.603,.617,21,34,.618,8,34,42,23,4,3,18,16,51,101,.505,8,26,.308,43,75,.573,.545,20,25,.800,16,30,46,29,11,4,5,22
59,59,2026-02-27,,MEM,L,105,124,,37,88,.420,9,32,.281,28,56,.500,.472,22,33,.667,13,33,46,24,4,4,21,13,47,93,.505,12,32,.375,35,61,.574,.570,18,21,.857,10,33,43,29,13,7,11,26
60,60,2026-03-01,,OKC,L,87,100,,33,85,.388,9,31,.290,24,54,.444,.441,12,16,.750,9,40,49,20,6,1,17,18,41,92,.446,8,39,.205,33,53,.623,.489,10,15,.667,7,39,46,22,9,8,9,17
61,61,2026-03-03,@,CHO,L,90,117,,28,74,.378,3,22,.136,25,52,.481,.399,31,42,.738,7,35,42,19,7,4,15,19,42,88,.477,20,51,.392,22,37,.595,.591,13,19,.684,13,36,49,32,11,7,15,31
62,62,2026-03-05,@,ORL,L,114,115,,39,86,.453,14,32,.438,25,54,.463,.535,22,28,.786,11,33,44,28,6,9,13,17,44,97,.454,13,39,.333,31,58,.534,.521,14,16,.875,14,33,47,31,10,2,12,21
63,63,2026-03-06,@,BOS,L,100,120,,38,93,.409,14,35,.400,24,58,.414,.484,10,12,.833,8,37,45,23,2,5,10,16,47,99,.475,16,48,.333,31,51,.608,.556,10,15,.667,14,44,58,29,6,10,10,10
64,64,2026-03-08,@,TOR,L,92,122,,35,88,.398,5,30,.167,30,58,.517,.426,17,20,.850,13,34,47,22,5,7,19,20,48,95,.505,10,36,.278,38,59,.644,.558,16,22,.727,8,34,42,39,11,4,8,19
65,65,2026-03-10,@,ATL,L,112,124,,41,86,.477,13,32,.406,28,54,.519,.552,17,22,.773,12,31,43,28,6,0,14,16,49,95,.516,14,36,.389,35,59,.593,.589,12,18,.667,13,32,45,29,8,8,10,18
66,66,2026-03-12,@,MEM,W,120,112,,45,93,.484,11,32,.344,34,61,.557,.543,19,24,.792,21,39,60,25,8,9,20,17,41,98,.418,14,48,.292,27,50,.540,.490,16,22,.727,14,24,38,26,10,5,10,18
67,67,2026-03-13,,CLE,L,105,138,,38,87,.437,9,33,.273,29,54,.537,.489,20,24,.833,12,28,40,27,4,3,19,14,56,91,.615,18,38,.474,38,53,.717,.714,8,13,.615,9,36,45,32,12,4,14,22
68,68,2026-03-15,@,CLE,W,130,120,,46,87,.529,15,30,.500,31,57,.544,.615,23,27,.852,9,35,44,35,13,5,13,21,45,88,.511,16,41,.390,29,47,.617,.602,14,21,.667,10,28,38,32,5,5,16,21
69,69,2026-03-16,@,NOP,L,111,129,,44,104,.423,14,39,.359,30,65,.462,.490,9,14,.643,13,38,51,27,10,3,12,22,48,95,.505,11,35,.314,37,60,.617,.563,22,34,.647,12,45,57,31,7,12,14,16
70,70,2026-03-18,,ATL,L,120,135,,42,86,.488,11,28,.393,31,58,.534,.552,25,29,.862,11,32,43,26,8,6,19,12,55,102,.539,14,35,.400,41,67,.612,.608,11,14,.786,12,30,42,36,10,3,11,21
71,71,2026-03-21,,LAC,L,131,138,OT,48,102,.471,13,34,.382,35,68,.515,.534,22,29,.759,17,30,47,25,5,6,11,16,51,90,.567,21,42,.500,30,48,.625,.683,15,18,.833,6,34,40,33,8,10,12,22
72,72,2026-03-23,,GSW,L,131,137,OT,51,87,.586,16,36,.444,35,51,.686,.678,13,20,.650,5,21,26,37,13,3,23,23,51,101,.505,17,47,.362,34,54,.630,.589,18,24,.750,17,32,49,39,16,4,24,25
73,73,2026-03-25,@,DEN,L,135,142,,48,97,.495,12,35,.343,36,62,.581,.557,27,34,.794,10,32,42,31,3,3,4,22,50,89,.562,19,38,.500,31,51,.608,.669,23,29,.793,5,40,45,36,1,1,9,27
74,74,2026-03-27,@,POR,W,100,93,,36,81,.444,7,24,.292,29,57,.509,.488,21,30,.700,7,30,37,24,12,5,17,22,31,79,.392,8,30,.267,23,49,.469,.443,23,33,.697,14,34,48,16,8,7,25,23
75,75,2026-03-30,,MIN,L,94,124,,31,89,.348,7,29,.241,24,60,.400,.388,25,34,.735,14,39,53,21,6,3,15,14,51,96,.531,14,31,.452,37,65,.569,.604,8,12,.667,6,45,51,33,8,6,11,27
76,76,2026-03-31,@,MIL,L,99,123,,34,96,.354,10,36,.278,24,60,.400,.406,21,28,.750,14,36,50,18,12,4,14,19,41,92,.446,20,54,.370,21,38,.553,.554,21,26,.808,12,47,59,28,7,9,18,19
77,77,2026-04-03,,ORL,L,127,138,,44,95,.463,14,42,.333,30,53,.566,.537,25,31,.806,11,30,41,25,9,5,13,24,47,84,.560,14,26,.538,33,58,.569,.643,30,37,.811,7,36,43,35,10,1,17,25
78,78,2026-04-05,,LAL,W,134,128,,46,88,.523,14,32,.438,32,56,.571,.602,28,36,.778,8,30,38,27,11,5,7,22,47,91,.516,8,27,.296,39,64,.609,.560,26,33,.788,11,38,49,36,6,1,12,23
79,79,2026-04-07,@,LAC,L,103,116,,35,100,.350,6,33,.182,29,67,.433,.380,27,28,.964,15,39,54,18,9,7,9,20,41,92,.446,14,37,.378,27,55,.491,.522,20,28,.714,12,44,56,23,6,9,15,18
80,80,2026-04-08,@,PHO,L,107,112,,37,89,.416,13,36,.361,24,53,.453,.489,20,22,.909,10,33,43,27,4,5,12,14,42,91,.462,14,35,.400,28,56,.500,.538,14,17,.824,12,34,46,20,5,8,10,16
81,81,2026-04-10,@,SAS,L,120,139,,45,98,.459,15,40,.375,30,58,.517,.536,15,19,.789,14,21,35,26,7,6,7,19,50,92,.543,13,32,.406,37,60,.617,.614,26,27,.963,13,35,48,30,4,6,11,15
82,82,2026-04-12,,CHI,W,149,128,,52,100,.520,22,49,.449,30,51,.588,.630,23,27,.852,16,41,57,35,10,5,18,24,52,106,.491,10,38,.263,42,68,.618,.538,14,19,.737,13,29,42,30,12,3,13,20
,,,,,26-56,9358,9810,,3432,7366,.466,899,2615,.344,2533,4751,.533,.527,1595,2113,.755,863,2803,3666,2072,619,423,1193,1508,3676,7695,.478,1050,2996,.350,2626,4699,.559,.546,1408,1828,.770,980,2855,3835,2325,721,432,1096,1723
