,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
49,49,2026-02-04,@,SAC,W,129,125,,45,90,.500,18,41,.439,27,49,.551,.600,21,28,.750,11,33,44,30,8,4,13,26,45,100,.450,11,36,.306,34,64,.531,.505,24,28,.857,14,32,46,29,4,2,13,21
50,50,2026-02-06,@,POR,L,115,135,,42,88,.477,15,41,.366,27,47,.574,.563,16,21,.762,10,27,37,28,12,3,16,18,49,90,.544,17,42,.405,32,48,.667,.639,20,21,.952,12,34,46,31,9,7,18,17
51,51,2026-02-07,@,POR,L,115,122,,42,84,.500,16,38,.421,26,46,.565,.595,15,21,.714,5,31,36,19,14,6,15,15,46,95,.484,21,51,.412,25,44,.568,.595,9,14,.643,14,34,48,30,7,3,17,21
52,52,2026-02-09,@,GSW,L,113,114,,42,83,.506,10,32,.313,32,51,.627,.566,19,24,.792,8,29,37,26,17,3,18,18,44,83,.530,11,33,.333,33,50,.660,.596,15,19,.789,10,30,40,31,12,1,23,17
53,53,2026-02-11,@,DEN,L,116,122,,42,91,.462,15,39,.385,27,52,.519,.544,17,21,.810,8,21,29,28,12,5,6,32,43,81,.531,10,22,.455,33,59,.559,.593,26,32,.813,9,37,46,29,2,1,15,19
54,54,2026-02-20,,UTA,W,123,114,,45,92,.489,12,33,.364,33,59,.559,.554,21,33,.636,11,34,45,29,15,6,17,16,46,93,.495,13,34,.382,33,59,.559,.565,9,16,.563,12,37,49,28,11,6,24,24
55,55,2026-02-21,@,MIA,L,120,136,,45,95,.474,15,43,.349,30,52,.577,.553,15,22,.682,9,26,35,31,14,7,13,22,49,95,.516,13,36,.361,36,59,.610,.584,25,33,.758,17,40,57,36,8,5,18,21
56,56,2026-02-23,,SAC,L,114,123,,42,87,.483,12,34,.353,30,53,.566,.552,18,20,.900,9,28,37,33,13,3,18,18,47,94,.500,10,29,.345,37,65,.569,.553,19,25,.760,13,32,45,30,12,7,15,15
57,57,2026-02-25,,GSW,L,112,133,,41,84,.488,17,41,.415,24,43,.558,.589,13,18,.722,10,24,34,30,7,4,16,16,49,92,.533,19,46,.413,30,46,.652,.636,16,19,.842,14,34,48,37,12,6,16,21
58,58,2026-02-27,@,DAL,W,124,105,,47,93,.505,12,32,.375,35,61,.574,.570,18,21,.857,10,33,43,29,13,7,11,26,37,88,.420,9,32,.281,28,56,.500,.472,22,33,.667,13,33,46,24,4,4,21,13
59,59,2026-03-01,@,IND,W,125,106,,48,94,.511,15,35,.429,33,59,.559,.590,14,14,1.000,13,27,40,34,12,9,13,16,39,80,.488,15,39,.385,24,41,.585,.581,13,19,.684,7,24,31,29,5,9,19,13
60,60,2026-03-03,@,MIN,L,110,117,,36,79,.456,15,38,.395,21,41,.512,.551,23,29,.793,5,28,33,27,9,4,17,26,40,84,.476,10,34,.294,30,50,.600,.536,27,34,.794,13,39,52,19,8,2,18,24
61,61,2026-03-04,,POR,L,114,122,,39,87,.448,14,32,.438,25,55,.455,.529,22,33,.667,13,25,38,25,12,6,17,23,48,95,.505,15,43,.349,33,52,.635,.584,11,18,.611,20,33,53,29,10,11,17,22
62,62,2026-03-07,,LAC,L,120,123,,42,87,.483,16,43,.372,26,44,.591,.575,20,24,.833,11,23,34,29,8,6,15,29,41,82,.500,4,17,.235,37,65,.569,.524,37,45,.822,16,28,44,15,10,2,16,20
63,63,2026-03-09,@,BRK,L,115,126,,40,92,.435,14,35,.400,26,57,.456,.511,21,25,.840,13,23,36,25,9,8,15,15,47,85,.553,17,33,.515,30,52,.577,.653,15,19,.789,10,33,43,35,10,9,20,21
64,64,2026-03-10,@,PHI,L,129,139,,48,97,.495,17,43,.395,31,54,.574,.582,16,21,.762,19,25,44,26,5,3,20,31,45,86,.523,11,31,.355,34,55,.618,.587,38,46,.826,12,28,40,27,13,5,11,25
65,65,2026-03-12,,DAL,L,112,120,,41,98,.418,14,48,.292,27,50,.540,.490,16,22,.727,14,24,38,26,10,5,10,18,45,93,.484,11,32,.344,34,61,.557,.543,19,24,.792,21,39,60,25,8,9,20,17
66,66,2026-03-13,@,DET,L,110,126,,38,89,.427,15,41,.366,23,48,.479,.511,19,24,.792,13,20,33,20,11,2,17,20,50,92,.543,12,35,.343,38,57,.667,.609,14,18,.778,19,33,52,36,12,6,19,19
67,67,2026-03-16,@,CHI,L,107,132,,39,86,.453,14,39,.359,25,47,.532,.535,15,19,.789,10,27,37,30,10,5,18,18,48,93,.516,18,48,.375,30,45,.667,.613,18,21,.857,13,34,47,30,9,6,17,16
68,68,2026-03-18,,DEN,W,125,118,,42,98,.429,16,49,.327,26,49,.531,.510,25,32,.781,12,36,48,22,12,9,10,17,44,90,.489,13,36,.361,31,54,.574,.561,17,22,.773,7,39,46,34,6,5,19,24
69,69,2026-03-20,,BOS,L,112,117,,42,90,.467,14,43,.326,28,47,.596,.544,14,17,.824,7,28,35,24,7,3,9,23,40,89,.449,11,42,.262,29,47,.617,.511,26,30,.867,18,39,57,19,4,2,13,20
70,70,2026-03-21,@,CHO,L,101,124,,35,86,.407,16,46,.348,19,40,.475,.500,15,19,.789,9,25,34,20,10,1,13,20,45,85,.529,18,43,.419,27,42,.643,.635,16,24,.667,13,36,49,25,7,4,18,17
71,71,2026-03-23,@,ATL,L,107,146,,35,83,.422,14,43,.326,21,40,.525,.506,23,26,.885,6,28,34,20,9,4,23,20,49,92,.533,25,54,.463,24,38,.632,.668,23,25,.920,12,32,44,37,12,6,11,19
72,72,2026-03-25,,SAS,L,98,123,,34,86,.395,16,50,.320,18,36,.500,.488,14,20,.700,3,30,33,26,8,3,12,18,46,89,.517,16,46,.348,30,43,.698,.607,15,22,.682,13,46,59,36,7,9,15,17
73,73,2026-03-27,,HOU,L,109,119,,40,91,.440,13,37,.351,27,54,.500,.511,16,18,.889,14,25,39,28,11,3,11,20,44,93,.473,12,33,.364,32,60,.533,.538,19,26,.731,21,36,57,30,9,7,14,14
74,74,2026-03-28,,CHI,W,125,124,,50,107,.467,12,38,.316,38,69,.551,.523,13,17,.765,10,27,37,31,17,3,14,32,41,82,.500,10,33,.303,31,49,.633,.561,32,43,.744,10,43,53,26,8,11,23,20
75,75,2026-03-30,,PHO,L,105,131,,38,75,.507,11,30,.367,27,45,.600,.580,18,20,.900,6,27,33,26,5,5,23,13,55,109,.505,17,45,.378,38,64,.594,.583,4,8,.500,20,27,47,39,13,5,11,15
76,76,2026-04-01,,NYK,L,119,130,,39,76,.513,16,36,.444,23,40,.575,.618,25,30,.833,6,14,20,27,10,4,14,22,48,87,.552,13,32,.406,35,55,.636,.626,21,24,.875,20,29,49,36,7,6,19,19
77,77,2026-04-03,,TOR,L,96,128,,34,85,.400,11,42,.262,23,43,.535,.465,17,26,.654,13,25,38,14,6,3,20,31,44,84,.524,9,24,.375,35,60,.583,.577,31,41,.756,17,34,51,31,10,6,16,21
78,78,2026-04-05,@,MIL,L,115,131,,38,92,.413,17,46,.370,21,46,.457,.505,22,28,.786,15,23,38,25,13,1,14,21,50,83,.602,16,32,.500,34,51,.667,.699,15,24,.625,11,33,44,30,11,5,20,19
79,79,2026-04-06,,CLE,L,126,142,,45,94,.479,29,59,.492,16,35,.457,.633,7,10,.700,8,23,31,32,7,4,13,27,52,89,.584,12,32,.375,40,57,.702,.652,26,37,.703,13,35,48,36,12,5,13,11
80,80,2026-04-08,@,DEN,L,119,136,,42,92,.457,19,50,.380,23,42,.548,.560,16,23,.696,10,28,38,24,5,1,6,20,53,90,.589,14,36,.389,39,54,.722,.667,16,21,.762,9,43,52,31,6,5,12,20
81,81,2026-04-10,@,UTA,L,101,147,,41,109,.376,11,52,.212,30,57,.526,.427,8,9,.889,11,36,47,27,10,2,20,15,62,110,.564,15,35,.429,47,75,.627,.632,8,17,.471,12,52,64,43,16,5,16,9
82,82,2026-04-12,@,HOU,L,101,132,,39,95,.411,13,49,.265,26,46,.565,.479,10,10,1.000,6,31,37,23,8,6,13,24,48,105,.457,14,49,.286,34,56,.607,.524,22,30,.733,21,43,64,23,10,8,11,10
,,,,,25-57,9403,9896,,3390,7431,.456,1143,3241,.353,2247,4190,.536,.533,1480,1867,.793,916,2538,3454,2283,723,393,1236,1680,3615,7458,.485,1151,3162,.364,2464,4296,.574,.562,1515,1954,.775,1044,2792,3836,2314,724,434,1272,1599
