,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
60,60,2026-02-26,@,CHI,W,121,112,,42,95,.442,10,46,.217,32,49,.653,.495,27,31,.871,15,30,45,27,10,8,12,19,40,80,.500,9,30,.300,31,50,.620,.556,23,30,.767,6,35,41,29,8,4,22,24
61,61,2026-02-28,@,CHO,L,93,109,,35,86,.407,11,47,.234,24,39,.615,.471,12,19,.632,11,28,39,22,8,7,17,19,38,91,.418,16,42,.381,22,49,.449,.505,17,25,.680,20,35,55,24,11,0,16,22
62,62,2026-03-01,@,ATL,L,101,135,,35,87,.402,13,37,.351,22,50,.440,.477,18,26,.692,9,29,38,23,5,6,17,15,51,92,.554,15,40,.375,36,52,.692,.636,18,23,.783,13,41,54,36,10,5,15,25
63,63,2026-03-04,@,MEM,W,122,114,,48,95,.505,15,43,.349,33,52,.635,.584,11,18,.611,20,33,53,29,10,11,17,22,39,87,.448,14,32,.438,25,55,.455,.529,22,33,.667,13,25,38,25,12,6,17,23
64,64,2026-03-06,@,HOU,L,99,106,,33,83,.398,12,39,.308,21,44,.477,.470,21,37,.568,16,27,43,20,17,2,16,20,41,76,.539,5,19,.263,36,57,.632,.572,19,26,.731,8,36,44,23,9,9,22,25
65,65,2026-03-08,,IND,W,131,111,,47,93,.505,15,41,.366,32,52,.615,.586,22,27,.815,13,40,53,29,5,8,14,19,41,95,.432,14,42,.333,27,53,.509,.505,15,24,.625,12,26,38,27,9,6,12,22
66,66,2026-03-10,,CHO,L,101,103,,35,83,.422,16,42,.381,19,41,.463,.518,15,18,.833,10,32,42,23,6,8,18,24,34,88,.386,14,38,.368,20,50,.400,.466,21,25,.840,16,36,52,21,12,4,17,20
67,67,2026-03-13,,UTA,W,124,114,,46,89,.517,17,46,.370,29,43,.674,.612,15,16,.938,14,35,49,34,16,12,24,19,42,92,.457,13,30,.433,29,62,.468,.527,17,22,.773,10,26,36,28,16,3,18,17
68,68,2026-03-15,@,PHI,L,103,109,,36,92,.391,17,53,.321,19,39,.487,.484,14,21,.667,15,34,49,26,6,9,19,14,44,97,.454,7,25,.280,37,72,.514,.490,14,15,.933,14,37,51,17,13,4,14,19
69,69,2026-03-16,@,BRK,W,114,95,,41,80,.513,11,26,.423,30,54,.556,.581,21,29,.724,11,33,44,30,7,3,19,25,33,86,.384,9,34,.265,24,52,.462,.436,20,29,.690,17,27,44,19,11,7,17,24
70,70,2026-03-18,@,IND,W,127,119,,45,101,.446,16,46,.348,29,55,.527,.525,21,26,.808,22,30,52,32,5,7,13,16,46,91,.505,12,27,.444,34,64,.531,.571,15,17,.882,10,29,39,32,9,7,12,24
71,71,2026-03-20,@,MIN,W,108,104,,39,92,.424,9,37,.243,30,55,.545,.473,21,24,.875,18,33,51,25,8,6,17,22,36,91,.396,9,28,.321,27,63,.429,.445,23,29,.793,14,29,43,21,11,5,13,19
