,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
65,65,2026-03-10,,DET,L,100,138,,29,69,.420,13,38,.342,16,31,.516,.514,29,34,.853,7,24,31,23,3,3,19,29,48,85,.565,16,31,.516,32,54,.593,.659,26,34,.765,10,30,40,36,12,3,9,24
66,66,2026-03-12,@,ATL,L,97,108,,34,72,.472,12,35,.343,22,37,.595,.556,17,22,.773,4,35,39,19,5,6,20,29,35,89,.393,12,40,.300,23,49,.469,.461,26,35,.743,17,34,51,22,12,6,12,14
67,67,2026-03-14,@,PHI,L,97,104,,32,89,.360,15,43,.349,17,46,.370,.444,18,21,.857,12,30,42,20,10,5,17,22,38,82,.463,3,25,.120,35,57,.614,.482,25,31,.806,8,39,47,22,12,10,14,16
68,68,2026-03-16,,POR,L,95,114,,33,86,.384,9,34,.265,24,52,.462,.436,20,29,.690,17,27,44,19,11,7,17,24,41,80,.513,11,26,.423,30,54,.556,.581,21,29,.724,11,33,44,30,7,3,19,25
69,69,2026-03-18,,OKC,L,92,121,,29,79,.367,11,35,.314,18,44,.409,.437,23,31,.742,11,30,41,17,8,4,23,21,45,85,.529,14,35,.400,31,50,.620,.612,17,22,.773,9,36,45,26,16,5,19,20
70,70,2026-03-20,,NYK,L,92,93,,34,86,.395,14,38,.368,20,48,.417,.477,10,10,1.000,8,32,40,28,8,6,15,28,31,76,.408,8,29,.276,23,47,.489,.461,23,32,.719,13,39,52,22,10,5,22,15
71,71,2026-03-22,@,SAC,L,122,126,,46,88,.523,14,33,.424,32,55,.582,.602,16,20,.800,7,18,25,30,7,4,7,26,43,82,.524,14,27,.519,29,55,.527,.610,26,34,.765,17,34,51,30,4,5,17,18
72,72,2026-03-23,@,POR,L,99,134,,33,80,.413,8,29,.276,25,51,.490,.463,25,29,.862,6,26,32,22,11,3,22,33,44,80,.550,18,38,.474,26,42,.619,.663,28,40,.700,8,37,45,28,10,8,24,24
73,73,2026-03-25,@,GSW,L,106,109,,39,81,.481,12,33,.364,27,48,.563,.556,16,21,.762,5,22,27,24,17,2,17,30,36,68,.529,9,27,.333,27,41,.659,.596,28,36,.778,8,35,43,21,11,3,26,22
74,74,2026-03-27,@,LAL,L,99,116,,40,96,.417,10,39,.256,30,57,.526,.469,9,15,.600,12,27,39,24,11,2,14,28,38,70,.543,11,25,.440,27,45,.600,.621,29,42,.690,6,42,48,18,9,9,15,16
75,75,2026-03-29,,SAC,W,116,99,,42,85,.494,17,41,.415,25,44,.568,.594,15,20,.750,12,28,40,30,10,4,15,21,36,84,.429,10,32,.313,26,52,.500,.488,17,25,.680,12,31,43,21,7,3,15,23
76,76,2026-03-31,,CHO,L,86,117,,28,73,.384,7,35,.200,21,38,.553,.432,23,27,.852,5,25,30,14,7,5,16,19,41,87,.471,12,39,.308,29,48,.604,.540,23,25,.920,13,34,47,28,7,4,13,22
77,77,2026-04-03,,ATL,L,107,141,,39,79,.494,12,28,.429,27,51,.529,.570,17,20,.850,3,30,33,24,10,4,20,21,51,90,.567,20,39,.513,31,51,.608,.678,19,24,.792,8,33,41,36,11,9,13,18
78,78,2026-04-05,,WAS,W,121,115,,43,88,.489,15,40,.375,28,48,.583,.574,20,23,.870,10,25,35,29,11,9,11,19,44,79,.557,9,25,.360,35,54,.648,.614,18,28,.643,11,30,41,20,9,3,23,18
79,79,2026-04-07,,MIL,W,96,90,,33,75,.440,9,26,.346,24,49,.490,.500,21,23,.913,3,29,32,18,11,4,14,13,35,81,.432,15,45,.333,20,36,.556,.525,5,8,.625,9,35,44,25,6,7,20,20
80,80,2026-04-09,,IND,L,94,123,,37,96,.385,8,38,.211,29,58,.500,.427,12,19,.632,7,36,43,20,2,5,10,21,51,98,.520,8,31,.258,43,67,.642,.561,13,18,.722,13,53,66,43,4,5,12,16
81,81,2026-04-10,@,MIL,L,108,125,,38,84,.452,18,45,.400,20,39,.513,.560,14,16,.875,9,28,37,28,7,2,11,13,45,81,.556,24,48,.500,21,33,.636,.704,11,16,.688,8,36,44,36,5,7,17,15
82,82,2026-04-12,@,TOR,L,101,136,,35,86,.407,9,34,.265,26,52,.500,.459,22,29,.759,13,25,38,21,9,0,16,27,51,80,.638,12,27,.444,39,53,.736,.713,22,29,.759,3,40,43,36,9,8,10,20
,,,,,20-62,8686,9505,,3071,6933,.443,1073,3152,.340,1998,3781,.528,.520,1471,1885,.780,847,2378,3225,2050,653,350,1292,1728,3457,6949,.497,1027,2696,.381,2430,4253,.571,.571,1564,2018,.775,834,2739,3573,2254,750,436,1189,1595
