,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Faceoffs,Faceoffs,Faceoffs,Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5)
Rk,Gtm,Date,,Opp,Rslt,GF,GA,OT,SOG,PIM,PPG,PPO,SHG,SOG,PIM,PPG,PPO,SHG,FOW,FOL,FO%,CF,CA,CF%,FF,FA,FF%,oZS%,PDO
69,69,2026-03-17,,NYI,L,1,3,,27,17,0,3,0,34,11,2,6,0,33,35,48.5,40,45,47.1,34,37,47.9,42.5,95.9
70,70,2026-03-20,,CAR,L,3,4,OT,26,10,0,2,0,36,4,1,5,1,27,25,51.9,38,51,42.7,27,35,43.5,54.2,103.2
71,71,2026-03-21,@,OTT,L,2,5,,14,10,0,3,0,44,8,1,4,0,26,33,44.1,23,56,29.1,13,51,20.3,27.3,110.9
72,72,2026-03-24,@,BOS,W,4,2,,35,17,2,4,1,20,16,1,5,0,23,43,34.8,36,30,54.5,32,24,57.1,55.6,95.3
73,73,2026-03-25,,NYR,W,4,3,,18,8,0,2,0,43,4,2,4,0,20,25,44.4,35,62,36.1,23,48,32.4,43.5,118.0
74,74,2026-03-28,@,STL,L,1,5,,13,4,0,3,0,38,6,1,2,1,22,26,45.8,28,53,34.6,22,44,33.3,34.6,95.9
75,75,2026-03-30,@,ANA,W,5,4,OT,29,66,2,4,0,32,32,1,6,0,28,37,43.1,35,44,44.3,28,35,44.4,44.4,99.3
76,76,2026-04-02,@,SJS,L,1,4,,20,4,1,1,0,25,2,0,2,0,28,32,46.7,46,45,50.5,31,32,49.2,46.2,84.0
77,77,2026-04-04,@,LAK,L,6,7,OT,20,14,2,4,1,40,12,0,5,0,24,38,38.7,29,48,37.7,20,39,33.9,57.1,100.7
78,78,2026-04-08,,WSH,L,0,4,,22,4,0,3,0,20,6,0,2,0,38,20,65.5,53,36,59.6,33,26,55.9,73.0,80.0
79,79,2026-04-09,@,NYI,L,3,5,,16,20,1,1,0,44,2,2,5,0,31,36,46.3,49,60,45.0,38,50,43.2,31.4,106.8
80,80,2026-04-11,,FLA,L,2,6,,19,2,1,1,0,25,2,0,1,0,36,20,64.3,46,51,47.4,32,37,46.4,54.3,82.7
81,81,2026-04-13,,DAL,L,5,6,,27,6,1,2,0,32,4,1,3,0,21,32,39.6,45,46,49.5,36,38,48.6,45.8,98.6
82,82,2026-04-15,@,OTT,L,1,3,,20,6,0,2,0,38,4,2,3,0,23,31,42.6,38,53,41.8,31,43,41.9,53.6,97.4
,,,,,32-36-14,253,299,,2159,756,42,197,6,2660,654,43,229,7,2498,2111,54.2,3451,4129,45.5,2568,3127,45.1,46.5,99.2
